Animal,Genotype,Day,Trial1,Trial2,Trial3
KO10,KO,1,57,69,59
KO11,KO,1,94,50,67
KO12,KO,1,45,36,36
KO13,KO,1,53,47,59
KO14,KO,1,36,49,36
KO15,KO,1,35,31,41
KO16,KO,1,32,44,49
WT34,WT,1,59,66,63
WT35,WT,1,57,61,54
WT37,WT,1,43,34,89
WT38,WT,1,40,34,34
WT39,WT,1,34,41,79
WT40,WT,1,26,29,29
KO79,KO,1,22,27,33
KO80,KO,1,18,29,24
KO81,KO,1,13,39,43
KO82,KO,1,19,25,22
KO83,KO,1,11,12,29
KO84,KO,1,13,19,18
KO85,KO,1,10,19,27
KO86,KO,1,15,22,29
WT87,WT,1,12,8,24
WT88,WT,1,16,20,30
WT89,WT,1,15,10,20
WT90,WT,1,12,12,21
WT91,WT,1,17,35,30
WT92,WT,1,15,16,30
WT93,WT,1,26,20,19
WT94,WT,1,11,24,34
WT95,WT,1,16,18,29
WT96,WT,1,14,21,15
KO10,KO,2,54,52,37
KO11,KO,2,44,39,40
KO12,KO,2,21,37,37
KO13,KO,2,41,24,46
KO14,KO,2,31,34,35
KO15,KO,2,20,48,49
KO16,KO,2,35,55,46
WT34,WT,2,34,39,51
WT35,WT,2,20,28,48
WT37,WT,2,25,35,43
WT38,WT,2,41,36,48
WT39,WT,2,47,29,48
WT40,WT,2,30,30,31
KO79,KO,2,29,38,46
KO80,KO,2,38,51,52
KO81,KO,2,50,63,50
KO82,KO,2,35,45,27
KO83,KO,2,34,30,40
KO84,KO,2,34,26,46
KO85,KO,2,33,27,30
KO86,KO,2,24,23,35
WT87,WT,2,23,27,37
WT88,WT,2,39,38,40
WT89,WT,2,19,20,18
WT90,WT,2,23,26,43
WT91,WT,2,29,42,38
WT92,WT,2,29,31,33
WT93,WT,2,37,37,48
WT94,WT,2,39,37,43
WT95,WT,2,26,30,39
WT96,WT,2,18,34,39
